parent_sku,sku,meta:_vaspfw_exclude_variation,meta:_vaspfw_variation_name,post_title,post_excerpt,post_content,post_status,regular_price,sale_price,stock_status,stock,manage_stock,weight,Images,tax:product_type,tax:product_cat,tax:product_tag,attribute:pa_colour,attribute_data:pa_colour,meta:attribute_pa_colour,attribute_default:pa_colour,attribute:sizes,attribute_data:sizes,meta:attribute_sizes,attribute_default:sizes,attribute:brands,attribute_data:brands,,,,,,Image path
,PR2005A-P,,,Hampton Slip Cover - 2.5,,"The Hampton Slipcover Can Add Some Light Tones, And Would Suit Modern, Neutral Chic, Natural, Conteven Romantimporary Or Ec Inspired Living Room Delssscor. We’Ve Ueimeed T Neutral Tones In A Light, Durable And Breathable Cotton Linen Blend, To Add A Level Of Comfort That Is Second To None. The Package Includes One Slipcover For Hampton 2.5 Seat Sofa Base, Four Cushion Covers And Two Seat Covers For A Uniform And Classic Look. This Slipcover Is Sold Seperately From And Goes With Pr2005X.",publish,,,instock,,no,1,https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005A.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005A-1.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005A-2.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005A-3.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005A-4.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005A-5.jpg | https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005B.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005B-1.jpg | https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005C.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005C-1.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005C-2.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005C-3.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005C-4.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005C-5.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005B-2.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005B-3.jpg |  |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005B-4.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005B-5.jpg | https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005C.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005C-1.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005C-2.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005C-3.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005C-4.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005C-5.jpg | https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-1.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-2.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-3.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-4.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-5.jpg | https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-1.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-2.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-3.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-4.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-5.jpg,variable,Furntiure>Lounge>Sofas | Furntiure>Lounge>Armchair,New Arrivals,Cloud | Salt & Pepper | Pastel Grey | Bleu,1|1|1,,Cloud,2.5|3.5,2|1|1,,2.5,Inspiry,2|1|0,,,,,,https://inspiry.co.nz/wp-content/uploads/oshan/RFA/
PR2005A-P,PR2005A,yes,,Slip Cover - Cloud - Hampton 2.5,,"The Hampton Cloud Slipcover Can Add Some Light Tones, And Would Suit Modern, Neutral Chic, Natural, Contemporary Or Even Romantic Inspired Living Room Decor. We’Ve Used Timeless Neutral Tones In A Light, Durable And Breathable Cotton Linen Blend, To Add A Level Of Comfort That Is Second To None. The Package Includes One Slipcover For Hampton 2.5 Seat Sofa Base, Four Cushion Covers And Two Seat Covers For A Uniform And Classic Look. This Slipcover Is Sold Seperately From And Goes With Pr2005X.",publish,1323,,instock,,no,2,https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005A.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005A-1.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005A-2.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005A-3.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005A-4.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005A-5.jpg,,,,,,Cloud,,,,2.5,,,,,,,,,https://inspiry.co.nz/wp-content/uploads/oshan/RFA/
PR2005A-P,RFA-PR2005B,yes,,Slip Cover - Salt & Pepper - Hampton 2.5,,"The Hampton Salt & Pepper Slipcover Can Add Some Light Tones, And Would Suit Modern, Neutral Chic, Natural, Contemporary Or Even Romantic Inspired Living Room Decor. We’Ve Used Timeless Neutral Tones In A Light, Durable And Breathable Cotton Linen Blend, To Add A Level Of Comfort That Is Second To None. The Package Includes One Slipcover For Hampton 2.5 Seat Sofa Base, Four Cushion Covers And Two Seat Covers For A Uniform And Classic Look. This Slipcover Is Sold Seperately From And Goes With Pr2005X.",publish,1323,,instock,,no,3,https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005B.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005B-1.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005B-2.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005B-3.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005B-4.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005B-5.jpg,,,,,,Salt & Pepper,,,,2.5,,,,,,,,,https://inspiry.co.nz/wp-content/uploads/oshan/RFA/
PR2005A-P,RFA-PR2005C,,Slip Cover - Pastel Grey - Hampton 2.5,Slip Cover - Pastel Grey - Hampton 2.5,,"The Hampton Pastel Grey Slipcover Can Add Some Light Tones, And Would Suit Modern, Neutral Chic, Natural, Contemporary Or Even Romantic Inspired Living Room Decor. We’Ve Used Timeless Neutral Tones In A Light, Durable And Breathable Cotton Linen Blend, To Add A Level Of Comfort That Is Second To None. The Package Includes One Slipcover For Hampton 2.5 Seat Sofa Base, Four Cushion Covers And Two Seat Covers For A Uniform And Classic Look. This Slipcover Is Sold Seperately From And Goes With Pr2005X.",publish,1323,,instock,,no,2,https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005C.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005C-1.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005C-2.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005C-3.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005C-4.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005C-5.jpg,,,,,,Pastel Grey,,,,2.5,,,,,,,,,https://inspiry.co.nz/wp-content/uploads/oshan/RFA/
PR2005A-P,RFA-PR2005D,yes,,Slip Cover - Bleu - Hampton 2.5,,"The Hampton Bleu Slipcover Can Add Some Light Tones, And Would Suit Modern, Neutral Chic, Natural, Contemporary Or Even Romantic Inspired Living Room Decor. We’Ve Used Timeless Neutral Tones In A Light, Durable And Breathable Cotton Linen Blend, To Add A Level Of Comfort That Is Second To None. The Package Includes One Slipcover For Hampton 2.5 Seat Sofa Base, Four Cushion Covers And Two Seat Covers For A Uniform And Classic Look. This Slipcover Is Sold Seperately From And Goes With Pr2005X.",publish,1323,,instock,,no,4,https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005D.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005D-1.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005D-2.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005D-3.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005D-4.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005D-5.jpg | https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005D.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005D-1.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005D-2.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005D-3.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005D-4.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2005D-5.jpg,,,,,,Bleu,,,,2.5,,,,,,,,,https://inspiry.co.nz/wp-content/uploads/oshan/RFA/
PR2005A-P,RFA-PR2006A,yes,,Slip Cover - Cloud - Hampton 3.5,,"The Hampton Cloud Slipcover Can Add Some Light Tones, And Would Suit Modern, Neutral Chic, Natural, Contemporary Or Even Romantic Inspired Living Room Decor. We’Ve Used Timeless Neutral Tones In A Light, Durable And Breathable Cotton Linen Blend, To Add A Level Of Comfort That Is Second To None. The Package Includes One Slipcover For Hampton 3.5 Seat Sofa Base, Four Cushion Covers And Two Seat Covers For A Uniform And Classic Look. This Slipcover Is Sold Seperately From And Goes With Pr2006X",publish,1587,,onbackorder,,no,10,https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006A.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006A-1.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006A-2.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006A-3.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006A-4.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006A-5.jpg,,,,,,Cloud,,,,3.5,,,,,,,,,https://inspiry.co.nz/wp-content/uploads/oshan/RFA/
PR2005A-P,RFA-PR2006B,yes,,Slip Cover - Salt & Pepper - Hampton 3.5,,"The Hampton Salt & Pepper Slipcover Can Add Some Light Tones, And Would Suit Modern, Neutral Chic, Natural, Contemporary Or Even Romantic Inspired Living Room Decor. We’Ve Used Timeless Neutral Tones In A Light, Durable And Breathable Cotton Linen Blend, To Add A Level Of Comfort That Is Second To None. The Package Includes One Slipcover For Hampton 3.5 Seat Sofa Base, Four Cushion Covers And Two Seat Covers For A Uniform And Classic Look. This Slipcover Is Sold Seperately From And Goes With Pr2006X.",publish,1587,,onbackorder,,no,1.5,https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006B.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006B-1.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006B-2.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006B-3.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006B-4.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006B-5.jpg,,,,,,Salt & Pepper,,,,3.5,,,,,,,,,https://inspiry.co.nz/wp-content/uploads/oshan/RFA/
PR2005A-P,RFA-PR2006C,yes,,Slip Cover - Pastel Grey - Hampton 3.5,,"The Hampton Pastel Grey Slipcover Can Add Some Light Tones, And Would Suit Modern, Neutral Chic, Natural, Contemporary Or Even Romantic Inspired Living Room Decor. We’Ve Used Timeless Neutral Tones In A Light, Durable And Breathable Cotton Linen Blend, To Add A Level Of Comfort That Is Second To None. The Package Includes One Slipcover For Hampton 3.5 Seat Sofa Base, Four Cushion Covers And Two Seat Covers For A Uniform And Classic Look. This Slipcover Is Sold Seperately From And Goes With Pr2006X",publish,1587,,onbackorder,,no,2.5,https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006C.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006C-1.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006C-2.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006C-3.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006C-4.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006C-5.jpg,,,,,,Pastel Grey,,,,3.5,,,,,,,,,https://inspiry.co.nz/wp-content/uploads/oshan/RFA/
PR2005A-P,RFA-PR2006D,,Slip Cover - Bleu - Hampton 3.5,Slip Cover - Bleu - Hampton 3.5,,"The Hampton Bleu Slipcover Can Add Some Light Tones, And Would Suit Modern, Neutral Chic, Natural, Contemporary Or Even Romantic Inspired Living Room Decor. We’Ve Used Timeless Neutral Tones In A Light, Durable And Breathable Cotton Linen Blend, To Add A Level Of Comfort That Is Second To None. The Package Includes One Slipcover For Hampton 3.5 Seat Sofa Base, Four Cushion Covers And Two Seat Covers For A Uniform And Classic Look. This Slipcover Is Sold Seperately From And Goes With Pr2006X",publish,1587,,onbackorder,,no,3.5,https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-1.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-2.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-3.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-4.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-5.jpg | https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-1.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-2.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-3.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-4.jpg |https://inspiry.co.nz/wp-content/uploads/oshan/RFA/RFA-PR2006D-5.jpg,,,,,,Bleu,,,,3.5,,,,,,,,,https://inspiry.co.nz/wp-content/uploads/oshan/RFA/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
